,id,rank,name,position_id,position_name,level
1448,1231,1449,BoMb3iRo,10,fw,1.0
1449,1487,1450,Tassakul,10,fw,1.0
1450,464,1451,Zoming,10,fw,1.0
1451,720,1452,schangele,10,fw,1.0
1452,976,1453,eblan,10,fw,1.0
1453,1232,1454,siuu,10,fw,1.0
1454,1488,1455,Eduardolas,10,fw,1.0
1455,465,1456,Svey,10,fw,1.0
1456,721,1457,Adasko,10,fw,1.0
1457,977,1458,freccero,10,fw,1.0
1458,1233,1459,Revenant494,10,fw,1.0
1459,1489,1460,rotyi,10,fw,1.0
1460,466,1461,sikeratargol,20,mf,1.0
1461,722,1462,LemonKiss,10,fw,1.0
1462,978,1463,damian,10,fw,1.0
1463,1234,1464,1bk,10,fw,1.0
1464,1490,1465,SuperNova,30,df,1.0
1465,467,1466,KARTALGOL,10,fw,1.0
1466,723,1467,Yevhen,10,fw,1.0
1467,979,1468,Pepo,10,fw,1.0
1468,1235,1469,azael,10,fw,1.0
1469,1491,1470,Kalif,20,mf,1.0
1470,212,1471,Cobra,30,df,1.0
1471,468,1472,Tiger,30,df,1.0
1472,724,1473,MisterAJ,10,fw,1.0
1473,980,1474,Osman,10,fw,1.0
1474,1492,1475,qew,10,fw,1.0
1475,213,1476,Miku,20,mf,1.0
1476,469,1477,diogao,10,fw,1.0
1477,725,1478,Pedro,10,fw,1.0
1478,981,1479,Osman0,10,fw,1.0
1479,1493,1480,maradroga,20,mf,1.0
1480,214,1481,Zlotowa,30,df,1.0
1481,470,1482,R0mario,10,fw,1.0
1482,726,1483,Zenkk,10,fw,1.0
1483,982,1484,DEBOY,20,mf,1.0
1484,1238,1485,bryant,20,mf,1.0
1485,215,1486,DarSmoje,30,df,1.0
1486,727,1487,Mona.,30,df,1.0
1487,983,1488,Sa0,20,mf,1.0
1488,1239,1489,besinse,20,mf,1.0
1489,1495,1490,M.Hamsik,20,mf,1.0
1490,728,1491,Luna.,10,fw,1.0
1491,984,1492,Nicolas,20,mf,1.0
1492,1240,1493,cr8,20,mf,1.0
1493,1496,1494,CHAPO,10,fw,1.0
1494,985,1495,Mitorji,10,fw,1.0
1495,1497,1496,Mike,20,mf,1.0
1496,474,1497,guyller,10,fw,1.0
1497,1498,1498,lam,10,fw,1.0
1498,219,1499,eLiTzXc,10,fw,1.0
1499,475,1500,Feline,10,fw,1.0
1500,731,1501,jerr,10,fw,1.0
1501,1243,1502,claudinho,20,mf,1.0
1502,1499,1503,ENES,10,fw,1.0
